country_name,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15
Greece,GRC,2021-02-10 00:00:00,459535,353412,106123,21663,17345,4.41,3.39,1.02,1664,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-02-11 00:00:00,482416,360800,121616,22881,17528,4.63,3.46,1.17,1682,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-02-12 00:00:00,506038,366749,139289,23622,17986,4.85,3.52,1.34,1726,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-02-13 00:00:00,526369,371462,154907,20331,18359,5.05,3.56,1.49,1761,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-02-16 00:00:00,575766,397840,177926,21021,19699,5.52,3.82,1.71,1890,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-02-17 00:00:00,603667,412970,190697,27901,20590,5.79,3.96,1.83,1975,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-02-18 00:00:00,634037,430124,203913,30370,21660,6.08,4.13,1.96,2078,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-02-19 00:00:00,664347,449073,215274,30310,22616,6.37,4.31,2.07,2170,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-02-20 00:00:00,693436,465842,227594,29089,23867,6.65,4.47,2.18,2290,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-02-22 00:00:00,730410,486820,243590,33165,25095,7.01,4.67,2.34,2408,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
Greece,GRC,2021-02-23 00:00:00,762624,505148,257476,32214,26694,7.32,4.85,2.47,2561,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.data.gov.gr/datasets/mdg_emvolio/
